name,city,birthDate,deathDate,nationality,occupation
Jakob von Sandrart,Frankfurt am Main,1630,1708,,prentmaker
Jean Baptiste Pierre Michiels,Antwerpen (stad),1821,1890,,prentmaker
Gustave Buschmann,Antwerpen (stad),1818,1852,,prentmaker
Edward Linley Sambourne,,1844,1910,,illustrator
Agostino Mitelli,Battedizzo,1609,1660,,prentmaker
Carel Adolph Lion Cachet,Amsterdam,1864,1945,Netherlands,prentmaker
Mathis Zündt,,1498,1572,,prentmaker
Théodore Fourmois,Presles,1814,1871,,prentmaker
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Walter Crane,Liverpool,1845,1915,,prentmaker
Hendrik Helweg,Amsterdam,1802,1858,Netherlands,zilversmid
Robert Boissard,Valence,1570,1611,,prentmaker
Jean Andrieu,Montaigu-de-Quercy,1816,1872,,fotograaf
Marius Bauer,Den Haag,1867,1932,,prentmaker
Josué Dupon,Ichtegem,1864,1935,Belgium,prentmaker
Gerrit Willem Dijsselhof,Zwollerkerspel,1866,1924,,prentmaker
Jan Caspar Philips,Duitsland,1700,1775,,prentmaker
Johann Esaias Nilson,Augsburg,1721,1788,Germany,prentmaker
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Etienne Desrochers,Lyon,1668,1741,France,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Heinrich Wilhelm Wollrabe,Hamburg,1843,1928,Germany,fotograaf
Bernard Picart,Parijs,1673,1733,,prentmaker
Willem Wenckebach,Den Haag,1860,1937,,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Martin Elias Ridinger,Augsburg,1730,1780,Germany,prentmaker
Félix Bonfils,Saint-Hippolyte-du-Fort,1831,1885,,fotograaf
Wouter Cool,Utrecht,1877,1947,Netherlands,ingenieur
Camillo Gavasetti,Modena,1596,1628,Italy,tekenaar
Francesco Faraone Aquila,Palermo,1676,1740,Italy,prentmaker
Louis Dupré,Versailles,1789,1837,,prentmaker
Jacob de Gheyn (II),Antwerpen (stad),1565,1629,,schilder
Antonio Tempesta,Florence,1555,1630,Italy,prentmaker
Philip Zilcken,Den Haag,1857,1930,,schilder
Willem Cornelis Rip,Rotterdam,1856,1922,Netherlands,schilder
Jan Oomkens,Groningen,1779,1844,Netherlands,boekverkoper
